title,studio,domestic_gross,foreign_gross,year,total_gross,title_clean,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,movie_id,averagerating,numvotes
Extraordinary Measures,CBS,12100000.0,3100000.0,2010,15200000.0,extraordinary measures,tt1244659,Extraordinary Measures,Extraordinary Measures,2010,106.0,Drama,tt1244659,6.5,15673.0
Somewhere,Focus,1800000.0,12200000.0,2010,14000000.0,somewhere,tt1421051,Somewhere,Somewhere,2010,97.0,"Comedy,Drama",tt1421051,6.3,40250.0
Winter's Bone,RAtt.,6500000.0,7300000.0,2010,13800000.0,winter's bone,tt1399683,Winter's Bone,Winter's Bone,2010,100.0,"Drama,Mystery",tt1399683,7.2,127751.0
Raajneeti,UTV,1500000.0,11100000.0,2010,12600000.0,raajneeti,tt1291465,Raajneeti,Raajneeti,2010,163.0,"Crime,Drama",tt1291465,7.2,15214.0
Made in Dagenham,SPC,1100000.0,11300000.0,2010,12400000.0,made in dagenham,tt1371155,Made in Dagenham,Made in Dagenham,2010,113.0,"Biography,Comedy,Drama",tt1371155,7.2,13121.0
Blue Valentine,Wein.,9700000.0,2600000.0,2010,12300000.0,blue valentine,tt1120985,Blue Valentine,Blue Valentine,2010,112.0,"Drama,Romance",tt1120985,7.4,170089.0
Tamara Drewe,SPC,560000.0,11400000.0,2010,11960000.0,tamara drewe,tt1486190,Tamara Drewe,Tamara Drewe,2010,107.0,"Comedy,Drama,Romance",tt1486190,6.2,19362.0
The Warrior's Way,Rela.,5700000.0,5400000.0,2010,11100000.0,the warrior's way,tt1032751,The Warrior's Way,The Warrior's Way,2010,100.0,"Action,Fantasy,Western",tt1032751,6.3,24271.0
Jonah Hex,WB,10500000.0,356000.0,2010,10856000.0,jonah hex,tt1075747,Jonah Hex,Jonah Hex,2010,81.0,"Action,Drama,Fantasy",tt1075747,4.7,51860.0
Cyrus,FoxS,7500000.0,2500000.0,2010,10000000.0,cyrus,tt1327709,Cyrus,Cyrus,2010,87.0,"Crime,Horror,Mystery",tt1327709,4.7,944.0
Cyrus,FoxS,7500000.0,2500000.0,2010,10000000.0,cyrus,tt1336617,Cyrus,Cyrus,2010,91.0,"Comedy,Drama,Romance",tt1336617,6.3,32457.0
Conviction,FoxS,6800000.0,2900000.0,2010,9700000.0,conviction,tt1244754,Conviction,Conviction,2010,107.0,"Biography,Crime,Drama",tt1244754,7.2,39771.0
Babies,Focus,7300000.0,2200000.0,2010,9500000.0,babies,tt1020938,Babies,Bébé(s),2010,79.0,Documentary,tt1020938,7.1,6672.0
Stone,Over.,1800000.0,7700000.0,2010,9500000.0,stone,tt1423995,Stone,Stone,2010,105.0,"Drama,Thriller",tt1423995,5.4,38667.0
Never Let Me Go,FoxS,2400000.0,7000000.0,2010,9400000.0,never let me go,tt1334260,Never Let Me Go,Never Let Me Go,2010,103.0,"Drama,Romance,Sci-Fi",tt1334260,7.1,130084.0
MacGruber,Uni.,8500000.0,797000.0,2010,9297000.0,macgruber,tt1470023,MacGruber,MacGruber,2010,90.0,"Action,Comedy,Romance",tt1470023,5.5,39782.0
Inside Job,SPC,4300000.0,3600000.0,2010,7900000.0,inside job,tt1645089,Inside Job,Inside Job,2010,109.0,"Crime,Documentary",tt1645089,8.3,65304.0
Centurion,Magn.,124000.0,6700000.0,2010,6824000.0,centurion,tt1020558,Centurion,Centurion,2010,97.0,"Action,Adventure,Drama",tt1020558,6.4,74085.0
Animal Kingdom,SPC,1000000.0,5700000.0,2010,6700000.0,animal kingdom,tt1313092,Animal Kingdom,Animal Kingdom,2010,113.0,"Crime,Drama",tt1313092,7.3,51576.0
It's Kind of a Funny Story,Focus,6400000.0,128000.0,2010,6528000.0,it's kind of a funny story,tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",tt0804497,7.1,125583.0
Greenberg,Focus,4200000.0,1900000.0,2010,6100000.0,greenberg,tt1234654,Greenberg,Greenberg,2010,107.0,"Comedy,Drama,Romance",tt1234654,6.1,33702.0
Exit Through the Gift Shop,PDA,3300000.0,2000000.0,2010,5300000.0,exit through the gift shop,tt1587707,Exit Through the Gift Shop,Exit Through the Gift Shop,2010,87.0,"Comedy,Crime,Documentary",tt1587707,8.0,58721.0
